FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP012|Energi (Energy)|154 Kal|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Protein (Protein)|3.8 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Lemak (Fat)|3.5 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Karbohidrat (CHO)|28.4 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Serat (Fibre)|0.7 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Abu (ASH)|0.6 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Kalsium (Ca)|7 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Fosfor (P)|171 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Besi (Fe)|0.5 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Natrium (Na)|5 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Kalium (K)|56.4 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Tembaga (Cu)|0.10 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Seng (Zn)|4.4 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Beta-Karoten (Carotenes)|818 mcg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Karoten Total (Re)|234 mcg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Thiamin (Vit. B1)|0.08 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Riboflavin (Vit. B2)|0.10 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Niasin (Niacin)|1.7 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP012|Vitamin C (Vit. C)|0 mg|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP013|Air (Water)|12.0 g|Corn, white, flour|Cereals|Processed/Products
AP013|Energi (Energy)|355 Kal|Corn, white, flour|Cereals|Processed/Products
AP013|Protein (Protein)|9.2 g|Corn, white, flour|Cereals|Processed/Products
AP013|Lemak (Fat)|3.9 g|Corn, white, flour|Cereals|Processed/Products
AP013|Karbohidrat (CHO)|73.7 g|Corn, white, flour|Cereals|Processed/Products
AP013|Serat (Fibre)|7.2 g|Corn, white, flour|Cereals|Processed/Products
AP013|Abu (ASH)|1.2 g|Corn, white, flour|Cereals|Processed/Products
